day,energy_demand_kwh,cid,freight_forwarder
2021-09-07,12.578284,0,1
2021-09-08,104.623538,0,1
2021-09-09,106.343356,0,1
2021-09-10,320.270202,0,1
2021-09-12,10.688259,0,1
2021-09-13,1221.44471,0,1
2021-09-14,998.0646060000003,0,1
2021-09-15,1398.1348449999998,0,1
2021-09-16,1377.8930480000001,0,1
2021-09-16,175.26108899999997,745,2
2021-09-17,1543.873868,0,1
2021-09-17,248.92225000000002,745,2
2021-09-18,12.103667000000002,745,2
2021-09-20,857.194685,0,1
2021-09-20,684.002981,745,2
2021-09-21,1745.130389,0,1
2021-09-21,131.96396099999998,2,3
2021-09-21,59.246948,4,3
2021-09-21,18.888097,20,3
2021-09-21,221.19814699999995,26,3
2021-09-21,665.7967659999999,745,2
2021-09-22,1233.183171,0,1
2021-09-22,482.599903,2,3
2021-09-22,310.07912699999997,4,3
2021-09-22,13.348281,20,3
2021-09-22,796.337116,26,3
2021-09-22,835.48863,745,2
2021-09-23,1009.42328,0,1
2021-09-23,369.661026,2,3
2021-09-23,276.570207,4,3
2021-09-23,187.844837,20,3
2021-09-23,737.059892,26,3
2021-09-23,599.951781,745,2
2021-09-24,1639.533349,0,1
2021-09-24,517.353536,2,3
2021-09-24,116.72923,4,3
2021-09-24,1013.1502690000001,26,3
2021-09-24,625.094593,745,2
2021-09-27,993.687083,0,1
2021-09-27,290.4135,2,3
2021-09-27,553.287202,4,3
2021-09-27,53.292258,20,3
2021-09-27,660.8298629999999,26,3
2021-09-27,811.8930829999999,745,2
2021-09-28,1779.467288,0,1
2021-09-28,374.294291,2,3
2021-09-28,162.54170000000002,4,3
2021-09-28,40.048543,20,3
2021-09-28,727.975609,26,3
2021-09-28,554.810244,745,2
2021-09-29,510.6470230000001,0,1
2021-09-29,371.95477800000003,2,3
2021-09-29,126.315895,4,3
2021-09-29,1481.84343,26,3
2021-09-29,739.9851960000001,745,2
2021-09-30,1574.193098,0,1
2021-09-30,287.643677,2,3
2021-09-30,177.502513,4,3
2021-09-30,142.761585,20,3
2021-09-30,717.247475,26,3
2021-09-30,809.8456309999999,745,2
2021-10-01,2347.7316960000003,0,1
2021-10-01,432.604916,2,3
2021-10-01,257.179975,4,3
2021-10-01,205.382298,20,3
2021-10-01,951.701505,26,3
2021-10-01,553.2113770000001,745,2
2021-10-02,152.33662299999997,2,3
