tour_id,distance,distance_km,duration,duration_h,start_time,cid,vehicle_id,stop_time,track_gap,avg_speed,max_speed,n_signal_loss,d_signal_loss,r_signal_loss,avg_hdop,home_base,long_haul,rest_area,service_area_fuel,industrial_area,freight_forwarder,max_speed_kmh,avg_speed_kmh,gross_vehicle_weight,total_mass_with_trailer,axle_class,other_area
0,57945.0,57.945,7412.956,2.0591544444444443,2021-09-10 11:04:53.598000+02:00,0,1,2021-09-10 14:09:50.802000+02:00,37.50405695,8.13,24.75,0.0,0.0,0.0,1.2301285,True,False,False,False,True,1,89.10000000000001,29.268000000000004,18000.0,40000.0,98.0,False
2,36426.0,36.426,4476.6,1.2435,2021-09-13 08:25:03.766000+02:00,0,1,2021-09-14 13:45:39.906000+02:00,87.90064649,13.63,24.83,0.0,0.0,0.0,0.93367,True,False,False,False,True,1,89.38799999999999,49.068000000000005,18000.0,40000.0,98.0,False
3,1570.0,1.57,1463.711,0.40658638888888887,2021-09-14 13:49:23.603000+02:00,0,1,2021-09-14 14:13:47.314000+02:00,11.38890061,1.07,7.13,0.0,0.0,0.0,0.5377675,True,False,False,False,True,1,25.668,3.8520000000000003,18000.0,40000.0,98.0,False
4,1290420.0,1290.42,73165.212,20.32367,2021-10-07 12:19:52.098000+02:00,0,1,2021-10-09 09:59:24.414000+02:00,31.35291788,20.69,28.45,8.0,278.0,0.013374486,0.9595319,True,True,False,True,True,1,102.42,74.48400000000001,18000.0,40000.0,98.0,True
6,64100.0,64.1,9340.692,2.5946366666666663,2021-10-11 08:12:38.147000+02:00,0,1,2021-10-11 13:27:17.033000+02:00,7.74395032,11.89,22.17,1.0,0.0,0.0,0.6265993,True,False,False,False,True,1,79.81200000000001,42.804,18000.0,40000.0,98.0,False
8,957164.0,957.164,52689.1,14.635861111111112,2021-10-11 15:05:55.392000+02:00,0,1,2021-10-13 15:45:49.873000+02:00,38.00743978,22.61,27.74,7.0,532.0,0.0019629186,1.2582762,True,True,True,True,True,1,99.86399999999999,81.396,18000.0,40000.0,98.0,False
10,1175349.0,1175.349,71308.825,19.808006944444443,2021-10-13 17:48:39.651000+02:00,0,1,2021-10-15 17:41:40.279000+02:00,96.46669201,22.06,28.01,148495.0,1299.0,0.01000624,0.82802624,True,True,True,True,True,1,100.83600000000001,79.416,18000.0,40000.0,98.0,True
12,820250.0,820.25,57295.69,15.915469444444444,2021-10-18 09:49:30.814000+02:00,0,1,2021-10-20 10:30:03.517000+02:00,28.12141127,22.24,27.27,47635.0,1244.0,0.005735679,1.3989822,True,True,False,True,True,1,98.172,80.064,18000.0,40000.0,98.0,True
14,728884.0,728.884,50046.579,13.9018275,2021-10-20 13:03:18.079000+02:00,0,1,2021-10-22 13:24:22.589000+02:00,50.46847513,19.7,26.82,10.0,1321.0,0.0073888376,1.093287,True,True,False,True,True,1,96.552,70.92,18000.0,40000.0,98.0,True
16,760768.0,760.768,48840.596000000005,13.566832222222223,2021-10-25 04:09:45.159000+02:00,0,1,2021-10-26 13:02:18.750000+02:00,33.51838054,19.79,27.77,85.0,1624.0,0.00862101,2.6514838,True,True,False,True,True,1,99.972,71.244,18000.0,40000.0,98.0,True
18,1538067.0,1538.067,85019.373,23.6164925,2021-10-26 16:02:03.237000+02:00,0,1,2021-10-29 17:51:40.684000+02:00,24.97138517,20.5,40.62,164211.0,29986.0,0.40251198,5.524977,True,True,True,True,True,1,146.232,73.8,18000.0,40000.0,98.0,True
20,922090.0,922.09,52286.665,14.52407361111111,2021-11-02 10:20:29.670000+01:00,0,1,2021-11-03 19:21:43.394000+01:00,38.89421403,20.58,33.24,9.0,458.0,0.0021634398,0.98575395,True,True,False,True,True,1,119.66400000000002,74.088,18000.0,40000.0,98.0,True
22,682690.0,682.69,39824.276,11.06229888888889,2021-11-04 12:03:08.301000+01:00,0,1,2021-11-05 19:26:30.333000+01:00,48.75300817,20.99,38.69,156190.0,5485.0,0.16086581,3.4461248,True,True,True,True,True,1,139.284,75.564,18000.0,40000.0,98.0,True
24,272995.0,272.995,38212.352,10.614542222222223,2021-11-08 10:12:56.208000+01:00,0,1,2021-11-10 10:56:06.468000+01:00,266156.19401269,23.15,26.65,32.0,5935.0,0.5885561,2.4517765,True,True,True,True,True,1,95.94,83.34,18000.0,40000.0,98.0,True
