day,energy_demand_kwh,cid,freight_forwarder
2021-09-07,3.552713678800501e-15,0,1
2021-09-08,-1.5987211554602254e-14,0,1
2021-09-09,1.1368683772161603e-13,0,1
2021-09-10,8.01581023779363e-14,0,1
2021-09-12,-1.5987211554602254e-14,0,1
2021-09-13,-1.0191847366058937e-13,0,1
2021-09-14,-1.9984014443252818e-15,0,1
2021-09-15,-2.1316282072803006e-14,0,1
2021-09-16,2.291500322826323e-13,0,1
2021-09-16,-2.2648549702353193e-14,745,2
2021-09-17,1.545430450278218e-13,0,1
2021-09-17,1.0658141036401503e-13,745,2
2021-09-18,2.842170943040401e-14,745,2
2021-09-20,2.1316282072803006e-14,0,1
2021-09-20,-3.108624468950438e-14,745,2
2021-09-21,1.3811174426336947e-13,0,1
2021-09-21,1.2434497875801753e-14,2,3
2021-09-21,2.842170943040401e-14,4,3
2021-09-21,-1.7763568394002505e-14,20,3
2021-09-21,-5.684341886080802e-14,26,3
2021-09-21,8.326672684688674e-14,745,2
2021-09-22,1.6786572132332367e-13,0,1
2021-09-22,-3.552713678800501e-14,2,3
2021-09-22,-7.815970093361102e-14,4,3
2021-09-22,1.4210854715202004e-14,20,3
2021-09-22,-6.128431095930864e-14,26,3
2021-09-22,-2.4868995751603507e-14,745,2
2021-09-23,-1.971756091734278e-13,0,1
2021-09-23,-8.704148513061227e-14,2,3
2021-09-23,9.325873406851315e-15,4,3
2021-09-23,2.1316282072803006e-14,20,3
2021-09-23,1.4210854715202004e-14,26,3
2021-09-23,7.105427357601002e-14,745,2
2021-09-24,-7.283063041541027e-14,0,1
2021-09-24,8.526512829121202e-14,2,3
2021-09-24,-2.4868995751603507e-14,4,3
2021-09-24,-4.929390229335695e-14,26,3
2021-09-24,8.903988657493755e-14,745,2
2021-09-27,1.3722356584366935e-13,0,1
2021-09-27,-1.1368683772161603e-13,2,3
2021-09-27,7.460698725481052e-14,4,3
2021-09-27,-7.105427357601002e-15,20,3
2021-09-27,-1.092459456231154e-13,26,3
2021-09-27,3.019806626980426e-14,745,2
2021-09-28,3.375077994860476e-13,0,1
2021-09-28,8.171241461241152e-14,2,3
2021-09-28,7.105427357601002e-15,4,3
2021-09-28,7.105427357601002e-15,20,3
2021-09-28,-1.4477308241112041e-13,26,3
2021-09-28,2.842170943040401e-14,745,2
2021-09-29,4.4630965589931293e-13,0,1
2021-09-29,2.1316282072803006e-14,2,3
2021-09-29,4.973799150320701e-14,4,3
2021-09-29,7.949196856316121e-14,26,3
2021-09-29,2.2515322939398175e-13,745,2
2021-09-30,-1.900701818158268e-13,0,1
2021-09-30,-2.1316282072803006e-14,2,3
2021-09-30,-3.197442310920451e-14,4,3
2021-09-30,7.105427357601002e-15,20,3
2021-09-30,-7.682743330406083e-14,26,3
2021-09-30,1.1368683772161603e-13,745,2
2021-10-01,-2.1316282072803006e-14,0,1
2021-10-01,6.394884621840902e-14,2,3
2021-10-01,3.907985046680551e-14,4,3
2021-10-01,0.0,20,3
2021-10-01,-3.907985046680551e-14,26,3
2021-10-01,-6.816769371198461e-14,745,2
2021-10-02,-4.263256414560601e-14,2,3
2021-10-02,1.7763568394002505e-14,20,3
2021-10-04,7.216449660063518e-14,0,1
2021-10-04,7.105427357601002e-14,2,3
2021-10-04,3.552713678800501e-15,4,3
2021-10-04,4.263256414560601e-14,20,3
2021-10-04,3.552713678800501e-14,26,3
2021-10-04,5.684341886080802e-14,745,2
2021-10-05,-5.861977570020827e-14,0,1
2021-10-05,-1.6786572132332367e-13,2,3
2021-10-05,-1.4210854715202004e-14,4,3
2021-10-05,-1.056932319443149e-13,26,3
2021-10-05,3.552713678800501e-14,745,2
2021-10-06,2.078337502098293e-13,0,1
2021-10-06,-1.4210854715202004e-14,2,3
2021-10-06,4.263256414560601e-14,4,3
2021-10-06,3.552713678800501e-14,20,3
2021-10-06,-7.815970093361102e-14,26,3
2021-10-06,-3.175237850427948e-14,745,2
2021-10-07,-2.4158453015843406e-13,0,1
2021-10-07,-1.0835776720341528e-13,2,3
2021-10-07,-3.419486915845482e-14,4,3
2021-10-07,-2.842170943040401e-14,20,3
2021-10-07,3.9968028886505635e-14,26,3
2021-10-07,5.062616992290714e-14,745,2
2021-10-08,1.865174681370263e-13,0,1
2021-10-08,9.947598300641403e-14,2,3
2021-10-08,3.552713678800501e-14,4,3
2021-10-08,7.105427357601002e-15,26,3
2021-10-08,1.7408297026122455e-13,745,2
2021-10-09,2.4868995751603507e-14,0,1
2021-10-10,-1.687538997430238e-14,0,1
2021-10-10,-7.105427357601002e-15,2,3
2021-10-11,-3.206324095117452e-13,0,1
2021-10-11,-1.3344880755994382e-13,2,3
2021-10-11,1.7763568394002505e-14,4,3
2021-10-11,-4.3520742565306136e-14,26,3
2021-10-11,9.547918011776346e-14,745,2
2021-10-12,9.903189379656396e-14,0,1
2021-10-12,-1.4210854715202004e-14,2,3
2021-10-12,4.263256414560601e-14,4,3
2021-10-12,-1.4210854715202004e-14,20,3
2021-10-12,2.842170943040401e-14,26,3
